precision	recall	f1	filter_by_graph	filter_by_cys_pair	prob_threshold	node_num_threshold	repeat
0.13846318369898736	0.9233638707553897	0.24081492503147534	False	False	0.1	0	0
0.33889946779942387	0.7615338197377804	0.4690577959487084	True	False	0.1	0	0
0.33889946779942387	0.7615338197377804	0.4690577959487084	True	True	0.1	0	0
0.13846318369898736	0.9233638707553897	0.24081492503147534	False	False	0.1	1	0
0.33717136825945115	0.7710790498655987	0.4691823689437054	True	False	0.1	1	0
0.33692987936752056	0.7691590323111526	0.4685928178734355	True	True	0.1	1	0
0.13846318369898736	0.9233638707553897	0.24081492503147534	False	False	0.1	2	0
0.33533443630347437	0.7783202589280817	0.46872264160293364	True	False	0.1	2	0
0.33516483516483514	0.7763453837292227	0.4681984351479662	True	True	0.1	2	0
0.13846318369898736	0.9233638707553897	0.24081492503147534	False	False	0.1	3	0
0.3325558613611979	0.7821602940369741	0.46668739669083353	True	False	0.1	3	0
0.33244481855592967	0.7799659882604641	0.4661868616489335	True	True	0.1	3	0
0.13846318369898736	0.9233638707553897	0.24081492503147534	False	False	0.1	4	0
0.32080619609223726	0.7998244555378792	0.4579361464893133	True	False	0.1	4	0
0.3210435627816559	0.79724614625048	0.45775390963352597	True	True	0.1	4	0
0.13846318369898736	0.9233638707553897	0.24081492503147534	False	False	0.1	5	0
0.3043003215964377	0.8097536891765867	0.44236330671141944	True	False	0.1	5	0
0.3048325596816976	0.8069559493115366	0.44250582838234187	True	True	0.1	5	0
0.20268788058346676	0.8819463492237644	0.32962233977118954	False	False	0.2	0	0
0.47596627614146503	0.7153985407866587	0.5716226878232664	True	False	0.2	0	0
0.47596627614146503	0.7153985407866587	0.5716226878232664	True	True	0.2	0	0
0.20268788058346676	0.8819463492237644	0.32962233977118954	False	False	0.2	1	0
0.4632819268757581	0.7333369905096275	0.5678362076289185	True	False	0.2	1	0
0.46400334366619067	0.730813538866641	0.5676182360460162	True	True	0.2	1	0
0.20268788058346676	0.8819463492237644	0.32962233977118954	False	False	0.2	2	0
0.4516622340425532	0.7452959569916068	0.5624624811111801	True	False	0.2	2	0
0.45318251790375474	0.7428822206374458	0.5629481823283657	True	True	0.2	2	0
0.20268788058346676	0.8819463492237644	0.32962233977118954	False	False	0.2	3	0
0.44022314129075696	0.7532503154314554	0.5556859571023878	True	False	0.2	3	0
0.4423356720230205	0.7505074332108179	0.5566133691362546	True	True	0.2	3	0
0.20268788058346676	0.8819463492237644	0.32962233977118954	False	False	0.2	4	0
0.40342847395951786	0.7784848318613199	0.531448366257841	True	False	0.2	4	0
0.40646943708990446	0.7748093696856657	0.5332125261906111	True	True	0.2	4	0
0.20268788058346676	0.8819463492237644	0.32962233977118954	False	False	0.2	5	0
0.36174266161983304	0.7916506665203796	0.49657616737207944	True	False	0.2	5	0
0.36519439570778345	0.7878654890558999	0.4990617833066926	True	True	0.2	5	0
0.2760936057770619	0.8368533655164847	0.41520372336082306	False	False	0.3	0	0
0.5877142027301772	0.6660266608151846	0.624424614909867	True	False	0.3	0	0
0.5877142027301772	0.6660266608151846	0.624424614909867	True	True	0.3	0	0
0.2760936057770619	0.8368533655164847	0.41520372336082306	False	False	0.3	1	0
0.552507426175083	0.6938394865324483	0.6151601371561976	True	False	0.3	1	0
0.5550070521861777	0.6907674584453344	0.6154898941760149	True	True	0.3	1	0
0.2760936057770619	0.8368533655164847	0.41520372336082306	False	False	0.3	2	0
0.5258725402866629	0.712491085632783	0.6051203205441797	True	False	0.3	2	0
0.5296863483744165	0.70963848812332	0.6065977351058592	True	True	0.3	2	0
0.2760936057770619	0.8368533655164847	0.41520372336082306	False	False	0.3	3	0
0.5035431270953977	0.7250534862033025	0.5943296535287901	True	False	0.3	3	0
0.508112493239589	0.7215425969608865	0.5963051116400317	True	True	0.3	3	0
0.2760936057770619	0.8368533655164847	0.41520372336082306	False	False	0.3	4	0
0.45208505027196305	0.7523177354764387	0.5647804958405404	True	False	0.3	4	0
0.45753847185436014	0.7486422733007845	0.5679623772265691	True	True	0.3	4	0
0.2760936057770619	0.8368533655164847	0.41520372336082306	False	False	0.3	5	0
0.4017005630242445	0.7671292994678809	0.5272902094606059	True	False	0.3	5	0
0.4073846334036074	0.7632344067145757	0.5312231534334969	True	True	0.3	5	0
0.3467278713739816	0.7914312359427286	0.4822019452521809	False	False	0.4	0	0
0.6667641895845524	0.6251028580832739	0.6452617571278915	True	False	0.4	0	0
0.6667641895845524	0.6251028580832739	0.6452617571278915	True	True	0.4	0	0
0.3467278713739816	0.7914312359427286	0.4822019452521809	False	False	0.4	1	0
0.610126582278481	0.6610346151736245	0.6345612048763791	True	False	0.4	1	0
0.6146036303968824	0.6575237259312086	0.6353396411438871	True	True	0.4	1	0
0.3467278713739816	0.7914312359427286	0.4822019452521809	False	False	0.4	2	0
0.5734033729610174	0.6826485270722475	0.623275149633117	True	False	0.4	2	0
0.5792574581501917	0.6795764989851336	0.6254196642685851	True	True	0.4	2	0
0.3467278713739816	0.7914312359427286	0.4822019452521809	False	False	0.4	3	0
0.5471868937270964	0.6962532228866093	0.6127848590189262	True	False	0.4	3	0
0.5535095795519313	0.6925777607109551	0.615283395876992	True	True	0.4	3	0
0.3467278713739816	0.7914312359427286	0.4822019452521809	False	False	0.4	4	0
0.49423177766124804	0.723846618026222	0.5873973334520444	True	False	0.4	4	0
0.5011454753722795	0.7200065829173296	0.5909633265044237	True	True	0.4	4	0
0.3467278713739816	0.7914312359427286	0.4822019452521809	False	False	0.4	5	0
