precision	recall	f1	filter_by_graph	filter_by_cys_pair	prob_threshold	node_num_threshold	repeat
0.15383831458800423	0.9109111854736958	0.2632225542336744	False	False	0.1	0	0
0.3751925616197183	0.7482034121454825	0.4997709825763544	True	False	0.1	0	0
0.3751925616197183	0.7482034121454825	0.4997709825763544	True	True	0.1	0	0
0.15383831458800423	0.9109111854736958	0.2632225542336744	False	False	0.1	1	0
0.37233014918965335	0.761204673871304	0.5000630664720616	True	False	0.1	1	0
0.37217498923805425	0.7588457951615558	0.49941332563135193	True	True	0.1	1	0
0.15383831458800423	0.9109111854736958	0.2632225542336744	False	False	0.1	2	0
0.36790220820189273	0.7677327335564211	0.497431978531696	True	False	0.1	2	0
0.36802258098554397	0.7653189972022602	0.4970340417193652	True	True	0.1	2	0
0.15383831458800423	0.9109111854736958	0.2632225542336744	False	False	0.1	3	0
0.3633219779085372	0.7722859180426792	0.49416431191533433	True	False	0.1	3	0
0.3635845635845636	0.7700916122661693	0.49395661429652177	True	True	0.1	3	0
0.15383831458800423	0.9109111854736958	0.2632225542336744	False	False	0.1	4	0
0.3458254609810346	0.7932415382083493	0.48166283601478965	True	False	0.1	4	0
0.3469549931369952	0.7903889406988864	0.48222772608608344	True	True	0.1	4	0
0.15383831458800423	0.9109111854736958	0.2632225542336744	False	False	0.1	5	0
0.32264308653380847	0.8046519282462011	0.46059882871991337	True	False	0.1	5	0
0.3241648551528326	0.8016896154479126	0.4616575318665003	True	True	0.1	5	0
0.22350494461185857	0.8666410664326074	0.3553626057225121	False	False	0.2	0	0
0.5131164742917104	0.6974600910636898	0.5912525867881973	True	False	0.2	0	0
0.5131164742917104	0.6974600910636898	0.5912525867881973	True	True	0.2	0	0
0.22350494461185857	0.8666410664326074	0.3553626057225121	False	False	0.2	1	0
0.4946840597194993	0.7197871523396785	0.586374097825844	True	False	0.2	1	0
0.49620378103409	0.717044270119041	0.5865248704314464	True	True	0.2	1	0
0.22350494461185857	0.8666410664326074	0.3553626057225121	False	False	0.2	2	0
0.47741889381163355	0.733007844643151	0.5782287902719778	True	False	0.2	2	0
0.47977795400475814	0.7301552471336881	0.5790607121881186	True	True	0.2	2	0
0.22350494461185857	0.8666410664326074	0.3553626057225121	False	False	0.2	3	0
0.4615410888721907	0.7412913489494761	0.5688845854295156	True	False	0.2	3	0
0.4643793103448276	0.7387678973064896	0.5702852061233564	True	True	0.2	3	0
0.22350494461185857	0.8666410664326074	0.3553626057225121	False	False	0.2	4	0
0.4206950456950457	0.7676778759120083	0.5435301885693201	True	False	0.2	4	0
0.42486730522847904	0.764057271380767	0.546078296837937	True	True	0.2	4	0
0.22350494461185857	0.8666410664326074	0.3553626057225121	False	False	0.2	5	0
0.37445580907421977	0.783257446925229	0.5066803882254831	True	False	0.2	5	0
0.3792091360264689	0.7796368423939876	0.5102410828082646	True	True	0.2	5	0
0.2884626472679749	0.8233583849909485	0.42724167378309136	False	False	0.3	0	0
0.6019314923796589	0.6564814306873663	0.6280241406454998	True	False	0.3	0	0
0.6019314923796589	0.6564814306873663	0.6280241406454998	True	True	0.3	0	0
0.2884626472679749	0.8233583849909485	0.42724167378309136	False	False	0.3	1	0
0.5639453635666952	0.6862691316034889	0.6191230327625458	True	False	0.3	1	0
0.5673826788890409	0.6824839541390093	0.6196334296244645	True	True	0.3	1	0
0.2884626472679749	0.8233583849909485	0.42724167378309136	False	False	0.3	2	0
0.5340355551854782	0.7036590048823304	0.6072240106040524	True	False	0.3	2	0
0.5385297470759617	0.6996543968401997	0.6086085130750144	True	True	0.3	2	0
0.2884626472679749	0.8233583849909485	0.42724167378309136	False	False	0.3	3	0
0.5106241440031305	0.7158374019419607	0.5960624885803033	True	False	0.3	3	0
0.5157037919396467	0.712491085632783	0.5983323351914129	True	True	0.3	3	0
0.2884626472679749	0.8233583849909485	0.42724167378309136	False	False	0.3	4	0
0.4571880894637564	0.744582807614241	0.5665212763737295	True	False	0.3	4	0
0.46337360977619113	0.7405233419276976	0.5700470851544519	True	True	0.3	4	0
0.2884626472679749	0.8233583849909485	0.42724167378309136	False	False	0.3	5	0
0.40764555624064125	0.761643535026606	0.5310587515299878	True	False	0.3	5	0
0.41423385040055205	0.7573646387624116	0.5355521936459909	True	True	0.3	5	0
0.3494534045786558	0.7821054363925612	0.4830670710014061	False	False	0.4	0	0
0.6681667456181904	0.6190136595534588	0.6426517071503829	True	False	0.4	0	0
0.6681667456181904	0.6190136595534588	0.6426517071503829	True	True	0.4	0	0
0.3494534045786558	0.7821054363925612	0.4830670710014061	False	False	0.4	1	0
0.6108957355641705	0.656975149487081	0.6330980889699468	True	False	0.4	1	0
0.6162092180217504	0.6527511108672993	0.633954021151336	True	True	0.4	1	0
0.3494534045786558	0.7821054363925612	0.4830670710014061	False	False	0.4	2	0
0.5720435084471187	0.6779856272971638	0.6205251794949038	True	False	0.4	2	0
0.577968256958508	0.6732130122332547	0.6219654351021235	True	True	0.4	2	0
0.3494534045786558	0.7821054363925612	0.4830670710014061	False	False	0.4	3	0
0.5460685833044683	0.6918646113335893	0.6103811252268603	True	False	0.4	3	0
0.5519989432898909	0.6877502880026332	0.6124422950098923	True	True	0.4	3	0
0.3494534045786558	0.7821054363925612	0.4830670710014061	False	False	0.4	4	0
0.49213559067532564	0.7191837182511382	0.5843808504947846	True	False	0.4	4	0
0.49906176999961704	0.7149048219869438	0.5877948671688242	True	True	0.4	4	0
0.3494534045786558	0.7821054363925612	0.4830670710014061	False	False	0.4	5	0
