precision	recall	f1	filter_by_graph	filter_by_cys_pair	prob_threshold	node_num_threshold	repeat
0.21296630203950795	0.8747051401612814	0.34253490870032227	False	False	0.1	0	0
0.47472291741151235	0.7283998025124802	0.5748176367453841	True	False	0.1	0	0
0.47472291741151235	0.7283998025124802	0.5748176367453841	True	True	0.1	0	0
0.21296630203950795	0.8747051401612814	0.34253490870032227	False	False	0.1	1	0
0.46501833989947017	0.7511108672993582	0.5744131898558933	True	False	0.1	1	0
0.46591762857728297	0.7484228427231334	0.5743091073646103	True	True	0.1	1	0
0.21296630203950795	0.8747051401612814	0.34253490870032227	False	False	0.1	2	0
0.4541203400915631	0.7618081079598442	0.5690343993935544	True	False	0.1	2	0
0.4554970375246873	0.7591200833836195	0.5693595836162026	True	True	0.1	2	0
0.21296630203950795	0.8747051401612814	0.34253490870032227	False	False	0.1	3	0
0.44351901700604873	0.7682813100005486	0.562382042324218	True	False	0.1	3	0
0.4448270365056592	0.7653738548466729	0.5626487075049401	True	True	0.1	3	0
0.21296630203950795	0.8747051401612814	0.34253490870032227	False	False	0.1	4	0
0.4131377221440671	0.7894015030994569	0.5424048247267244	True	False	0.1	4	0
0.41522992669004083	0.786110044434692	0.5434205536594615	True	True	0.1	4	0
0.21296630203950795	0.8747051401612814	0.34253490870032227	False	False	0.1	5	0
0.377673191797471	0.8011958966481979	0.5133567662565905	True	False	0.1	5	0
0.3802485284499673	0.7973558615393055	0.5149325114252312	True	True	0.1	5	0
0.33061269146608313	0.8288441494322234	0.4726806300739883	False	False	0.2	0	0
0.5902112217362985	0.6959240770201327	0.6387231578682375	True	False	0.2	0	0
0.5902112217362985	0.6959240770201327	0.6387231578682375	True	True	0.2	0	0
0.33061269146608313	0.8288441494322234	0.4726806300739883	False	False	0.2	1	0
0.5657939621354255	0.7279060837127653	0.6366929776157002	True	False	0.2	1	0
0.5690457719162141	0.724285479181524	0.637348845067703	True	True	0.2	1	0
0.33061269146608313	0.8288441494322234	0.4726806300739883	False	False	0.2	2	0
0.5446306291790864	0.7417302101047781	0.6280803623272558	True	False	0.2	2	0
0.549126815733638	0.7382741785067749	0.6298055549055852	True	True	0.2	2	0
0.33061269146608313	0.8288441494322234	0.4726806300739883	False	False	0.2	3	0
0.5274517374517375	0.749410280322563	0.6191393414761268	True	False	0.2	3	0
0.5323073308270677	0.7456799605024961	0.6211813092653948	True	True	0.2	3	0
0.33061269146608313	0.8288441494322234	0.4726806300739883	False	False	0.2	4	0
0.49036514696641764	0.770585331065884	0.5993386666666667	True	False	0.2	4	0
0.4974019503167485	0.7666904383125789	0.6033630496254884	True	True	0.2	4	0
0.33061269146608313	0.8288441494322234	0.4726806300739883	False	False	0.2	5	0
0.44836256207178327	0.7825991551922761	0.5701041021439847	True	False	0.2	5	0
0.45621823328829697	0.7779911130616052	0.5751596877217885	True	True	0.2	5	0
0.3959563283461383	0.8057490811344561	0.5309811293471188	False	False	0.3	0	0
0.6296523517382413	0.6756267485874157	0.6518298975892456	True	False	0.3	0	0
0.6296523517382413	0.6756267485874157	0.6518298975892456	True	True	0.3	0	0
0.3959563283461383	0.8057490811344561	0.5309811293471188	False	False	0.3	1	0
0.5998335337094238	0.711613363322179	0.6509597290176891	True	False	0.3	1	0
0.6047252953309582	0.707663612924461	0.6521574277697733	True	True	0.3	1	0
0.3959563283461383	0.8057490811344561	0.5309811293471188	False	False	0.3	2	0
0.5774586407088917	0.7257117779362554	0.6431523165929312	True	False	0.3	2	0
0.5845211136272812	0.7221460310494268	0.6460858895705521	True	True	0.3	2	0
0.3959563283461383	0.8057490811344561	0.5309811293471188	False	False	0.3	3	0
0.5610104061765693	0.7334467057984531	0.6357433251705855	True	False	0.3	3	0
0.5686618212911501	0.7296615283339734	0.6391792210288569	True	True	0.3	3	0
0.3959563283461383	0.8057490811344561	0.5309811293471188	False	False	0.3	4	0
0.5277008310249307	0.7524274507652642	0.6203387530811153	True	False	0.3	4	0
0.5378728104781443	0.7479291239234187	0.6257429377882828	True	True	0.3	4	0
0.3959563283461383	0.8057490811344561	0.5309811293471188	False	False	0.3	5	0
0.48902854334164236	0.7641121290251797	0.5963778044185648	True	False	0.3	5	0
0.49980126467931346	0.758790937517143	0.6026490066225165	True	True	0.3	5	0
0.441170150719833	0.7884140655000275	0.5657599496122505	False	False	0.4	0	0
0.653934051583415	0.6592791705524165	0.6565957330565193	True	False	0.4	0	0
0.653934051583415	0.6592791705524165	0.6565957330565193	True	True	0.4	0	0
0.441170150719833	0.7884140655000275	0.5657599496122505	False	False	0.4	1	0
0.6215410188716144	0.697405233419277	0.6572913165990228	True	False	0.4	1	0
0.6272961970012908	0.6931263371550825	0.6585702744259988	True	True	0.4	1	0
0.441170150719833	0.7884140655000275	0.5657599496122505	False	False	0.4	2	0
0.6001386001386001	0.7126008009216084	0.65155239002859	True	False	0.4	2	0
0.6082474226804123	0.7088156234571288	0.654691933522497	True	True	0.4	2	0
0.441170150719833	0.7884140655000275	0.5657599496122505	False	False	0.4	3	0
0.5847468946173368	0.7205003017170443	0.6455640206438928	True	False	0.4	3	0
0.593521421107628	0.7166602666081519	0.6493041749502981	True	True	0.4	3	0
0.441170150719833	0.7884140655000275	0.5657599496122505	False	False	0.4	4	0
0.5532675709001234	0.7384387514400131	0.6325806527409009	True	False	0.4	4	0
0.565713802435724	0.733885566953755	0.6389187382095184	True	True	0.4	4	0
0.441170150719833	0.7884140655000275	0.5657599496122505	False	False	0.4	5	0
0.5188052677520969	0.7499039991222777	0.613307012427655	True	False	0.4	5	0
