F3S	MN	NI	CU	FES	MG	ZN	SF4	CO	FE	CA	f1_macro_avg	repeat
{'precision': 0.4375, 'recall': 0.18666666666666668, 'f1': 0.26168224299065423}	{'precision': 0.336697247706422, 'recall': 0.4142212189616253, 'f1': 0.37145748987854255}	{'precision': 0.26506024096385544, 'recall': 0.14732142857142858, 'f1': 0.18938307030129126}	{'precision': 0.6518324607329843, 'recall': 0.6417525773195877, 'f1': 0.6467532467532467}	{'precision': 0.8617363344051447, 'recall': 0.8220858895705522, 'f1': 0.8414442700156987}	{'precision': 0.4025661587810746, 'recall': 0.38059135708870356, 'f1': 0.3912704598597039}	{'precision': 0.7070336391437309, 'recall': 0.8193738924985233, 'f1': 0.7590697674418605}	{'precision': 0.7880597014925373, 'recall': 0.8732083792723263, 'f1': 0.8284518828451883}	{'precision': 0.08771929824561403, 'recall': 0.0390625, 'f1': 0.05405405405405405}	{'precision': 0.3770913770913771, 'recall': 0.3932885906040268, 'f1': 0.3850197109067017}	{'precision': 0.713166144200627, 'recall': 0.6010568031704095, 'f1': 0.6523297491039427}	0.4891741767409895	0
{'precision': 0.5, 'recall': 0.22666666666666666, 'f1': 0.3119266055045871}	{'precision': 0.31339285714285714, 'recall': 0.3961625282167043, 'f1': 0.34995014955134596}	{'precision': 0.2248062015503876, 'recall': 0.12946428571428573, 'f1': 0.1643059490084986}	{'precision': 0.6270783847980997, 'recall': 0.6804123711340206, 'f1': 0.6526576019777502}	{'precision': 0.7934131736526946, 'recall': 0.8128834355828221, 'f1': 0.803030303030303}	{'precision': 0.3775433308214017, 'recall': 0.379833206974981, 'f1': 0.3786848072562358}	{'precision': 0.7113879736408567, 'recall': 0.8161842882457176, 'f1': 0.7601914507344447}	{'precision': 0.7941176470588235, 'recall': 0.8632855567805954, 'f1': 0.8272583201267828}	{'precision': 0.12195121951219512, 'recall': 0.0390625, 'f1': 0.05917159763313609}	{'precision': 0.3665480427046263, 'recall': 0.4147651006711409, 'f1': 0.3891687657430731}	{'precision': 0.7208872458410351, 'recall': 0.6010568031704095, 'f1': 0.6555408812582543}	0.4865351301658556	0
{'precision': 0.47058823529411764, 'recall': 0.10666666666666667, 'f1': 0.1739130434782609}	{'precision': 0.32403846153846155, 'recall': 0.3803611738148984, 'f1': 0.3499480789200416}	{'precision': 0.22053231939163498, 'recall': 0.12946428571428573, 'f1': 0.16315049226441636}	{'precision': 0.6381909547738693, 'recall': 0.654639175257732, 'f1': 0.6463104325699744}	{'precision': 0.8651315789473685, 'recall': 0.8067484662576687, 'f1': 0.8349206349206348}	{'precision': 0.40160642570281124, 'recall': 0.37907505686125853, 'f1': 0.39001560062402496}	{'precision': 0.7072227873855544, 'recall': 0.8212640283520378, 'f1': 0.7599890680513802}	{'precision': 0.7940298507462686, 'recall': 0.8798235942668137, 'f1': 0.8347280334728033}	{'precision': 0.09090909090909091, 'recall': 0.03125, 'f1': 0.046511627906976744}	{'precision': 0.37870619946091644, 'recall': 0.37718120805369126, 'f1': 0.37794216543375925}	{'precision': 0.7138773388773388, 'recall': 0.6047996477322766, 'f1': 0.6548271752085817}	0.4756596684409868	0
