CA	FES	MN	MG	SF4	NI	FE	CO	ZN	F3S	CU	f1_macro_avg	repeat
{'precision': 0.7125, 'recall': 0.6023778071334214, 'f1': 0.6528274874731567}	{'precision': 0.8729641693811075, 'recall': 0.8220858895705522, 'f1': 0.8467614533965245}	{'precision': 0.35391705069124424, 'recall': 0.43340857787810383, 'f1': 0.3896499238964992}	{'precision': 0.39751552795031053, 'recall': 0.38817285822592873, 'f1': 0.3927886459532029}	{'precision': 0.804902962206333, 'recall': 0.8687982359426681, 'f1': 0.8356309650053022}	{'precision': 0.27906976744186046, 'recall': 0.13392857142857142, 'f1': 0.18099547511312214}	{'precision': 0.41229193341869397, 'recall': 0.43221476510067114, 'f1': 0.4220183486238532}	{'precision': 0.0, 'recall': 0.0, 'f1': 0}	{'precision': 0.7005541561712846, 'recall': 0.8213821618428825, 'f1': 0.7561718325176726}	{'precision': 0.2857142857142857, 'recall': 0.13333333333333333, 'f1': 0.18181818181818182}	{'precision': 0.6397984886649875, 'recall': 0.654639175257732, 'f1': 0.6471337579617835}	0.4823450974326635	0
{'precision': 0.7153626202235508, 'recall': 0.6059004843681197, 'f1': 0.6560972702348313}	{'precision': 0.7976190476190477, 'recall': 0.8220858895705522, 'f1': 0.8096676737160121}	{'precision': 0.3097582811101164, 'recall': 0.3905191873589165, 'f1': 0.345481777333999}	{'precision': 0.38584974471188915, 'recall': 0.40106141015921154, 'f1': 0.39330855018587363}	{'precision': 0.789795918367347, 'recall': 0.8533627342888643, 'f1': 0.8203497615262321}	{'precision': 0.2602739726027397, 'recall': 0.12723214285714285, 'f1': 0.17091454272863568}	{'precision': 0.3969465648854962, 'recall': 0.41879194630872485, 'f1': 0.40757674722403653}	{'precision': 0.05555555555555555, 'recall': 0.015625, 'f1': 0.024390243902439025}	{'precision': 0.7000402900886382, 'recall': 0.8210277613703485, 'f1': 0.7557222856521504}	{'precision': 0.3, 'recall': 0.12, 'f1': 0.17142857142857143}	{'precision': 0.6265664160401002, 'recall': 0.6443298969072165, 'f1': 0.6353240152477764}	0.4718419490164143	0
{'precision': 0.70595690747782, 'recall': 0.6131660061646852, 'f1': 0.6562978673264993}	{'precision': 0.8778877887788779, 'recall': 0.8159509202453987, 'f1': 0.8457869634340223}	{'precision': 0.3413693346190935, 'recall': 0.39954853273137697, 'f1': 0.36817472698907955}	{'precision': 0.4048582995951417, 'recall': 0.37907505686125853, 'f1': 0.39154267815191857}	{'precision': 0.8080808080808081, 'recall': 0.8820286659316428, 'f1': 0.8434370057986295}	{'precision': 0.2398190045248869, 'recall': 0.11830357142857142, 'f1': 0.15844544095665172}	{'precision': 0.4140302613480055, 'recall': 0.4040268456375839, 'f1': 0.40896739130434784}	{'precision': 0.1111111111111111, 'recall': 0.0390625, 'f1': 0.05780346820809249}	{'precision': 0.6966942974133626, 'recall': 0.8240992321323095, 'f1': 0.7550600714363027}	{'precision': 0.4166666666666667, 'recall': 0.13333333333333333, 'f1': 0.20202020202020202}	{'precision': 0.6104513064133017, 'recall': 0.6623711340206185, 'f1': 0.6353522867737948}	0.4838989183999582	0
