FES	FE	SF4	CA	CO	MN	ZN	CU	F3S	NI	MG	f1_macro_avg	repeat
{'precision': 0.8673139158576052, 'recall': 0.8220858895705522, 'f1': 0.8440944881889764}	{'precision': 0.40318302387267907, 'recall': 0.4080536912751678, 'f1': 0.40560373582388265}	{'precision': 0.7869346733668342, 'recall': 0.8632855567805954, 'f1': 0.8233438485804416}	{'precision': 0.7137652875357794, 'recall': 0.603918978423602, 'f1': 0.6542635658914728}	{'precision': 0.05128205128205128, 'recall': 0.015625, 'f1': 0.023952095808383235}	{'precision': 0.3532818532818533, 'recall': 0.41309255079006774, 'f1': 0.380853277835588}	{'precision': 0.7028663706096084, 'recall': 0.8226816302421737, 'f1': 0.7580689054590976}	{'precision': 0.6572164948453608, 'recall': 0.6572164948453608, 'f1': 0.6572164948453608}	{'precision': 0.2222222222222222, 'recall': 0.08, 'f1': 0.11764705882352941}	{'precision': 0.2683982683982684, 'recall': 0.13839285714285715, 'f1': 0.18262150220913106}	{'precision': 0.4128878281622912, 'recall': 0.3934799090219864, 'f1': 0.40295031055900626}	0.4773286621840791	0
{'precision': 0.8286604361370716, 'recall': 0.8159509202453987, 'f1': 0.8222565687789799}	{'precision': 0.42740841248303935, 'recall': 0.4228187919463087, 'f1': 0.42510121457489874}	{'precision': 0.781563126252505, 'recall': 0.8599779492833517, 'f1': 0.8188976377952756}	{'precision': 0.711741935483871, 'recall': 0.6072214883311317, 'f1': 0.6553403825591064}	{'precision': 0.0851063829787234, 'recall': 0.03125, 'f1': 0.045714285714285714}	{'precision': 0.30941286113699906, 'recall': 0.3747178329571106, 'f1': 0.3389484430832057}	{'precision': 0.7010070493454179, 'recall': 0.8223272297696397, 'f1': 0.7568360967654255}	{'precision': 0.6237623762376238, 'recall': 0.6494845360824743, 'f1': 0.6363636363636364}	{'precision': 0.5, 'recall': 0.04, 'f1': 0.07407407407407407}	{'precision': 0.25327510917030566, 'recall': 0.12946428571428573, 'f1': 0.17134416543574593}	{'precision': 0.4029968454258675, 'recall': 0.38741470811220624, 'f1': 0.3950521839969076}	0.4672662444674129	0
{'precision': 0.8668831168831169, 'recall': 0.8190184049079755, 'f1': 0.8422712933753943}	{'precision': 0.38837516512549536, 'recall': 0.3946308724832215, 'f1': 0.3914780292942743}	{'precision': 0.7955689828801611, 'recall': 0.8710033076074972, 'f1': 0.831578947368421}	{'precision': 0.706485516534222, 'recall': 0.6067811536767944, 'f1': 0.6528485135615302}	{'precision': 0.0625, 'recall': 0.0234375, 'f1': 0.03409090909090909}	{'precision': 0.33431372549019606, 'recall': 0.38487584650112866, 'f1': 0.3578174186778594}	{'precision': 0.7083798882681565, 'recall': 0.8238629651506202, 'f1': 0.7617695248498089}	{'precision': 0.5909090909090909, 'recall': 0.6701030927835051, 'f1': 0.6280193236714976}	{'precision': 0.5555555555555556, 'recall': 0.13333333333333333, 'f1': 0.21505376344086022}	{'precision': 0.23828125, 'recall': 0.13616071428571427, 'f1': 0.17329545454545453}	{'precision': 0.403968253968254, 'recall': 0.3858984078847612, 'f1': 0.39472663823187276}	0.4802681651007165	0
